subcategory,product_id,manufacturer,sku,product_name,category,brand,unit_of_measure,standard_cost,minimum_advertisable_price,list_price,weight_lbs,is_active,is_apex,margin_pct,map_headroom_pct,price_hierarchy_valid,has_apex_competitor
hex_bolts,APX-00020,apex,SKU-000020,Apex Pro Hex Bolts M10 #20,fasteners,Apex Pro,box_of_100,17.52,21.67,27.84,2.117,true,true,37.07,22.16,true,true
hex_bolts,APX-00026,apex,SKU-000026,Apex Pro Hex Bolts 5/8-11 #26,fasteners,Apex Pro,box_of_100,7.06,8.73,11.03,0.897,true,true,35.99,20.85,true,true
hex_bolts,APX-00028,apex,SKU-000028,Apex Pro Hex Bolts 5/8-11 #28,fasteners,Apex Pro,box_of_100,6.01,7.29,8.17,2.637,true,true,26.44,10.77,true,true
screws,APX-00107,apex,SKU-000107,Apex Industrial Screws 5/8-11 #18,fasteners,Apex Industrial,box_of_100,3.55,4.26,5.54,0.273,true,true,35.92,23.1,true,true
screws,APX-00115,apex,SKU-000115,Apex Industrial Screws 3/8-16 #26,fasteners,Apex Industrial,box_of_100,5.75,7.53,9.17,0.722,true,true,37.3,17.88,true,true
screws,APX-00120,apex,SKU-000120,Apex Industrial Screws M8 #31,fasteners,Apex Industrial,box_of_100,12.14,14.36,17.25,1.164,true,true,29.62,16.75,true,true
screws,APX-00133,apex,SKU-000133,Apex Industrial Screws 1/4-20 #44,fasteners,Apex Industrial,box_of_100,5.89,7.57,9.47,0.775,true,true,37.8,20.06,true,true
screws,APX-00144,apex,SKU-000144,Apex Industrial Screws M6 #55,fasteners,Apex Industrial,box_of_100,9.98,12.84,14.84,2.209,false,true,32.75,13.48,true,true
screws,APX-00150,apex,SKU-000150,Apex Industrial Screws 5/8-11 #61,fasteners,Apex Industrial,box_of_100,6.16,7.75,9.9,0.268,true,true,37.78,21.72,true,true
screws,APX-00154,apex,SKU-000154,Apex Industrial Screws 1/2-13 #65,fasteners,Apex Industrial,box_of_100,4.96,5.89,7.63,2.397,true,true,34.99,22.8,true,true
nuts_washers,APX-00196,apex,SKU-000196,Apex Industrial Nuts Washers 1/4-20 #21,fasteners,Apex Industrial,box_of_100,5.91,7.72,9.13,1.084,true,true,35.27,15.44,true,true
nuts_washers,APX-00213,apex,SKU-000213,Apex Industrial Nuts Washers M12 #38,fasteners,Apex Industrial,box_of_100,4.06,5.09,6.13,2.672,true,true,33.77,16.97,true,true
nuts_washers,APX-00223,apex,SKU-000223,Apex Industrial Nuts Washers M6 #48,fasteners,Apex Industrial,box_of_100,1.65,1.93,2.46,0.665,true,true,32.93,21.54,true,true
anchors,APX-00325,apex,SKU-000325,Apex Pro Anchors 3/8-16 #66,fasteners,Apex Pro,box_of_100,4.82,6.04,7.7,0.183,true,true,37.4,21.56,true,true
rivets,APX-00392,apex,SKU-000392,Apex Industrial Rivets M10 #44,fasteners,Apex Industrial,box_of_100,9.92,13.11,16.64,4.957,true,true,40.38,21.21,true,true
rivets,APX-00399,apex,SKU-000399,Apex Industrial Rivets 5/8-11 #51,fasteners,Apex Industrial,box_of_100,7.3,9.09,10.62,0.265,true,true,31.26,14.41,true,true
rivets,APX-00415,apex,SKU-000415,Apex Industrial Rivets M8 #67,fasteners,Apex Industrial,box_of_100,11.56,13.77,17.15,0.434,true,true,32.59,19.71,true,true
epoxy,APX-00450,apex,SKU-000450,Apex Prime Epoxy 1/2-13 #28,adhesives,Apex Prime,each,4.43,5.11,5.67,3.687,true,true,21.87,9.88,true,true
epoxy,APX-00471,apex,SKU-000471,Apex Prime Epoxy M12 #49,adhesives,Apex Prime,each,15.64,19.97,25.42,0.549,true,true,38.47,21.44,true,true
epoxy,APX-00472,apex,SKU-000472,Apex Prime Epoxy M10 #50,adhesives,Apex Prime,each,9.04,11.48,14.74,0.192,true,true,38.67,22.12,true,true
epoxy,APX-00482,apex,SKU-000482,Apex Prime Epoxy M12 #60,adhesives,Apex Prime,each,13.85,17.86,22.44,0.226,true,true,38.28,20.41,true,true
epoxy,APX-00485,apex,SKU-000485,Apex Prime Epoxy 5/8-11 #63,adhesives,Apex Prime,each,17.93,23.09,25.59,0.516,true,true,29.93,9.77,true,true
epoxy,APX-00501,apex,SKU-000501,Apex Prime Epoxy 1/2-13 #79,adhesives,Apex Prime,each,6.64,7.83,9.26,6.846,true,true,28.29,15.44,true,true
structural,APX-00537,apex,SKU-000537,Apex Pro Structural 5/8-11 #34,adhesives,Apex Pro,each,4.45,5.8,7.41,1.279,true,true,39.95,21.73,true,true
structural,APX-00557,apex,SKU-000557,Apex Pro Structural M6 #54,adhesives,Apex Pro,each,5.98,7.37,9,0.909,true,true,33.56,18.11,true,true
structural,APX-00564,apex,SKU-000564,Apex Pro Structural 1/2-13 #61,adhesives,Apex Pro,each,5.91,7.36,8.39,0.37,true,true,29.56,12.28,true,true
structural,APX-00579,apex,SKU-000579,Apex Pro Structural M10 #76,adhesives,Apex Pro,each,4.88,5.62,7.02,1.709,true,true,30.48,19.94,true,true
structural,APX-00581,apex,SKU-000581,Apex Pro Structural M12 #78,adhesives,Apex Pro,each,3.34,4.05,4.66,0.779,true,true,28.33,13.09,true,true
tape,APX-00592,apex,SKU-000592,Apex Prime Tape 1/4-20 #7,adhesives,Apex Prime,each,3.77,5.02,6.1,3.117,true,true,38.2,17.7,true,true
tape,APX-00611,apex,SKU-000611,Apex Prime Tape 1/4-20 #26,adhesives,Apex Prime,each,8.2,10.34,11.78,0.235,true,true,30.39,12.22,true,true
tape,APX-00612,apex,SKU-000612,Apex Prime Tape 1/4-20 #27,adhesives,Apex Prime,each,5.33,7.16,9.28,6.737,true,true,42.56,22.84,true,true
tape,APX-00621,apex,SKU-000621,Apex Prime Tape 1/2-13 #36,adhesives,Apex Prime,each,1.99,2.47,2.74,1.048,true,true,27.37,9.85,true,true
tape,APX-00632,apex,SKU-000632,Apex Prime Tape 5/8-11 #47,adhesives,Apex Prime,each,9.81,12.33,15.28,0.382,true,true,35.8,19.31,true,true
tape,APX-00656,apex,SKU-000656,Apex Prime Tape 1/4-20 #71,adhesives,Apex Prime,each,11.31,14.75,18.94,2.336,true,true,40.29,22.12,true,true
sealant,APX-00680,apex,SKU-000680,Apex Elite Sealant 1/2-13 #17,adhesives,Apex Elite,each,4.94,5.7,7.4,0.647,true,true,33.24,22.97,true,true
sealant,APX-00684,apex,SKU-000684,Apex Elite Sealant M10 #21,adhesives,Apex Elite,each,19.12,25,28.24,1.009,true,true,32.29,11.47,true,true
sealant,APX-00723,apex,SKU-000723,Apex Elite Sealant 5/8-11 #60,adhesives,Apex Elite,each,6.12,7.08,8.18,0.993,true,true,25.18,13.45,true,true
spray,APX-00735,apex,SKU-000735,Apex Elite Spray 1/2-13 #1,adhesives,Apex Elite,each,10.11,12.8,15.7,1.665,true,true,35.61,18.47,true,true
spray,APX-00747,apex,SKU-000747,Apex Elite Spray 3/8-16 #13,adhesives,Apex Elite,each,31.71,37.85,48.49,0.292,true,true,34.61,21.94,true,true
spray,APX-00754,apex,SKU-000754,Apex Elite Spray 5/8-11 #20,adhesives,Apex Elite,each,6.23,7.91,10.2,0.904,true,true,38.92,22.45,true,true
spray,APX-00755,apex,SKU-000755,Apex Elite Spray 1/2-13 #21,adhesives,Apex Elite,each,2.47,3.08,3.89,5.96,true,true,36.5,20.82,true,true
spray,APX-00759,apex,SKU-000759,Apex Elite Spray 1/2-13 #25,adhesives,Apex Elite,each,10.93,13.24,17.15,5.669,true,true,36.27,22.8,true,true
spray,APX-00763,apex,SKU-000763,Apex Elite Spray M8 #29,adhesives,Apex Elite,each,6.85,8.69,11.24,3.174,true,true,39.06,22.69,true,true
spray,APX-00771,apex,SKU-000771,Apex Elite Spray 3/8-16 #37,adhesives,Apex Elite,each,6.67,8.73,11.07,2.884,true,true,39.75,21.14,true,true
spray,APX-00774,apex,SKU-000774,Apex Elite Spray M6 #40,adhesives,Apex Elite,each,9.76,11.37,14.73,5.895,true,true,33.74,22.81,true,true
spray,APX-00802,apex,SKU-000802,Apex Elite Spray 5/8-11 #68,adhesives,Apex Elite,each,2.8,3.33,4.02,1.035,true,true,30.35,17.16,true,true
hex_bolts,APX-00006,apex,SKU-000006,Apex Pro Hex Bolts 3/8-16 #6,fasteners,Apex Pro,box_of_100,1.79,2.36,2.68,2.706,true,true,33.21,11.94,true,true
hex_bolts,APX-00015,apex,SKU-000015,Apex Pro Hex Bolts M6 #15,fasteners,Apex Pro,box_of_100,32.23,37.55,46.86,0.272,true,true,31.22,19.87,true,true
